WingID,alpha,U,U_ci,Re_c,Re_c_ci,rho,rho_ci,mu,mu_ci,T_atm,T_atm_CI,P_atm,P_atm_CI,P_V_mean,Fx_V_mean,Fy_V_mean,Fz_V_mean,Mx_V_mean,My_V_mean,Mz_V_mean,P_V_ci,Fx_V_ci,Fy_V_ci,Fz_V_ci,Mx_V_ci,My_V_ci,Mz_V_ci,FL_wt_mean,FD_wt_mean,FS_wt_mean,Mn_wt_mean,Ml_wt_mean,Mm_wt_mean,FL_wt_ci,FD_wt_ci,FS_wt_ci,Mn_wt_ci,Ml_wt_ci,Mm_wt_ci,t_s,f_s
F6003,0,12.46051035,0.446276014,814262.8857,29171.43161,1.181474494,0.001012023,1.81E-05,1.53E-09,18.86885235,0.01372548,98984.1797,84.65975,1.124695132,-0.311353554,-0.184096181,0.316956955,-0.236316598,0.149510542,0.234945652,0.016487977,0.074152152,0.021272915,0.060325716,0.008511931,0.082876479,0.047007466,-0.8273939,0.720881874,-1.116596466,-0.185737358,-0.265006736,-0.010848155,1.659856977,1.285194366,7.629478492,0.215171769,0.216513383,0.069085614,45,4000
F6003,2,12.51451711,0.450813534,817424.1688,29455.00064,1.181174889,0.001016381,1.81E-05,3.08E-09,18.9429229,0.02758416,98984.1797,84.65975,1.132464555,-0.280510745,-0.177727849,0.295015097,-0.234339715,0.138966653,0.254656294,0.016723828,0.061457513,0.01551628,0.059757575,0.009797382,0.083978729,0.036847787,-0.272213439,0.606373254,-1.211335448,-0.156588463,-0.165967826,-0.048024763,1.330435553,0.990275702,7.243432476,0.216122548,0.192884832,0.054507637,45,4000
F6003,4,12.56209992,0.450693869,820517.8227,29446.31351,1.181163235,0.001010362,1.81E-05,4.46E-10,18.94580475,0.004000535,98984.1797,84.65975,1.139535151,-0.246706898,-0.172594597,0.270430424,-0.233372778,0.128402713,0.274603079,0.016782873,0.049749812,0.009150573,0.048773019,0.008062709,0.048451638,0.028099608,0.333756162,0.508457692,-1.288643447,-0.130065808,-0.055391927,-0.082557513,1.015622128,0.698295698,5.10897259,0.144348765,0.144842618,0.040579479,45,4000
F6003,6,12.58385313,0.445832026,822159.6523,29136.80585,1.181342198,0.001011931,1.81E-05,1.54E-09,18.90155485,0.013822595,98984.1797,84.65975,1.142923081,-0.207082818,-0.16747992,0.241546291,-0.232247368,0.116727238,0.297638172,0.016632807,0.044464315,0.005876118,0.042012587,0.005798623,0.021994496,0.024330135,1.046658652,0.41229391,-1.340836634,-0.1073023,0.07623489,-0.12140599,0.863757286,0.563462173,3.900512262,0.099822541,0.120234432,0.034014295,45,4000
F6003,8,12.57903357,0.47642907,822081.1989,31144.20697,1.181533723,0.001011494,1.81E-05,1.21E-09,18.85421368,0.010802135,98984.1797,84.65975,1.142355644,-0.171548647,-0.165032591,0.215241296,-0.23342861,0.10716987,0.316096993,0.017772187,0.045544683,0.005357298,0.044021092,0.005452887,0.021347802,0.024507334,1.693057439,0.378543994,-1.358326644,-0.092744863,0.194799988,-0.14760488,0.864634803,0.560798373,4.009771766,0.102984038,0.123304839,0.033994952,45,4000
F6003,10,12.58104166,0.452109768,822143.3919,29552.94825,1.181477806,0.001013382,1.81E-05,2.11E-09,18.86803376,0.01887194,98984.1797,84.65975,1.142611053,-0.138870001,-0.16448771,0.190390464,-0.234964844,0.099629671,0.331141206,0.016865549,0.041443278,0.004806136,0.039832381,0.00481956,0.021351108,0.02156403,2.245236517,0.366188443,-1.339684357,-0.083973286,0.304940029,-0.166320486,0.758923907,0.499115875,3.679677691,0.095098161,0.112591784,0.02995897,45,4000
F6003,12,12.56054145,0.474488748,820576.0373,31006.18482,1.181293065,0.001011048,1.81E-05,1.04E-09,18.91370203,0.009336441,98984.1797,84.65975,1.139405736,-0.105054655,-0.164393335,0.163730262,-0.236650998,0.093409972,0.345968992,0.017670072,0.041744284,0.004537753,0.040531894,0.004459904,0.02287318,0.022492998,2.801979067,0.385718911,-1.281231285,-0.077365302,0.420297087,-0.183973543,0.784084538,0.516071924,3.752406991,0.097914746,0.114040521,0.030955086,45,4000
F6003,14,12.54231619,0.428244677,819119.786,27977.0446,1.181077238,0.001013626,1.81E-05,2.31E-09,18.96707294,0.020718547,98984.1797,84.65975,1.136520346,-0.071558068,-0.164873625,0.136148802,-0.238136278,0.088572763,0.360456225,0.015919221,0.040105254,0.004459895,0.039236142,0.00421768,0.024897939,0.02018937,3.349623206,0.42129196,-1.213346842,-0.074229368,0.5363318,-0.200673889,0.702997759,0.475210479,3.686049559,0.09770834,0.110600405,0.027976439,45,4000
F6003,16,12.53135331,0.470235756,818694.514,30729.30689,1.181313663,0.001010815,1.81E-05,8.36E-10,18.9086095,0.007491941,98984.1797,84.65975,1.135076008,-0.039768744,-0.166124782,0.108572386,-0.239447735,0.085022319,0.374056768,0.017471056,0.04056631,0.004539906,0.03988762,0.004270643,0.026009341,0.019434308,3.871559069,0.467708068,-1.169948602,-0.075570803,0.648612743,-0.215373887,0.675305454,0.467735794,3.756942979,0.100103453,0.112223302,0.027082135,45,4000
F6003,18,12.51777566,0.464184408,817636.8399,30327.75652,1.181174749,0.001011231,1.81E-05,1.23E-09,18.94295741,0.011059558,98984.1797,84.65975,1.132948428,-0.009163436,-0.167833042,0.080861028,-0.240771205,0.083488331,0.386889861,0.017225166,0.04399591,0.005047046,0.043257057,0.004749955,0.029001786,0.021906974,4.375575044,0.539797723,-1.083449327,-0.079183027,0.758094772,-0.22844408,0.755871067,0.532016132,4.09495927,0.109476905,0.122017317,0.030470223,45,4000
F6003,20,12.4582559,0.474933496,813650.7822,31025.804,1.181094294,0.00101036,1.81E-05,5.36E-10,18.96285453,0.004801238,98984.1797,84.65975,1.124065295,-0.020355659,-0.161710208,0.092862356,-0.236517688,0.0829272,0.381659057,0.017539617,0.128917147,0.037078497,0.079363216,0.010889084,0.119648847,0.058276659,3.964945444,0.798698715,-1.068933026,-0.115655362,0.713068181,-0.235325436,2.047874912,1.926983799,11.62860592,0.301414754,0.353204805,0.092527916,45,4000
F6003,22,12.47647312,0.471120634,815002.406,30783.02442,1.181226513,0.001011067,1.81E-05,1.10E-09,18.93015727,0.009821724,98984.1797,84.65975,1.126863696,0.046301911,-0.172580055,0.027528429,-0.241962131,0.083974901,0.409758981,0.017426001,0.049722168,0.005905084,0.048884941,0.005706419,0.03456366,0.026096118,5.266369571,0.703898184,-0.915207922,-0.100449489,0.96144738,-0.251020495,0.887632006,0.649560267,4.675644385,0.125838683,0.138600842,0.036252637,45,4000
F6003,24,12.46056285,0.478047729,813880.0403,31232.21454,1.181158579,0.001011205,1.81E-05,1.23E-09,18.94695631,0.010987762,98984.1797,84.65975,1.1244565,0.075085378,-0.175690746,-0.001646529,-0.242228357,0.08570756,0.421824157,0.01765902,0.045903501,0.005845026,0.046756308,0.005851066,0.032942184,0.023983991,5.741314712,0.798281425,-0.827752144,-0.116165051,1.069571974,-0.26258866,0.81479353,0.614319028,4.406411238,0.120214173,0.129163521,0.033633566,45,4000
F6003,25,12.45369038,0.468805538,813166.1579,30618.87953,1.180941689,0.001013497,1.81E-05,2.31E-09,19.00060231,0.020682839,98984.1797,84.65975,1.123271605,0.086108108,-0.177242685,-0.014009996,-0.24214018,0.087778346,0.426049718,0.017304363,0.045815318,0.006050193,0.046337729,0.006134542,0.032043651,0.024698117,5.908623522,0.851844619,-0.780274476,-0.123912477,1.112638556,-0.266266731,0.835992116,0.637826019,4.362523483,0.118434206,0.128460351,0.034661299,45,4000
F6003,23,12.46280247,0.458761282,813722.8097,29962.20606,1.180910342,0.001019156,1.81E-05,3.76E-09,19.0083573,0.033693575,98984.1797,84.65975,1.12459401,0.060863572,-0.173970682,0.012056092,-0.241861418,0.084447033,0.416738279,0.016944948,0.045933089,0.004719501,0.043089992,0.004077403,0.028056503,0.021500317,5.532122204,0.741725798,-0.937720951,-0.107193975,1.017327438,-0.25852576,0.724309594,0.535781516,4.140345545,0.108093664,0.12555474,0.029701459,45,4000
F6003,21,12.46849811,0.472775762,814053.3261,30874.85445,1.180876524,0.001010578,1.81E-05,9.54E-10,19.0167243,0.008551842,98984.1797,84.65975,1.125409953,0.018114747,-0.166866212,0.05533518,-0.239162559,0.082201503,0.399141489,0.017470947,0.091650021,0.023896322,0.066369153,0.008342034,0.093623298,0.039646134,4.734879477,0.737365381,-1.049255325,-0.105657565,0.856406829,-0.248145443,1.396847732,1.282198024,8.853660821,0.240757585,0.258931724,0.062342564,45,4000
F6003,19,12.4657475,0.444592927,813854.0516,29034.74667,1.180860421,0.001012298,1.81E-05,1.89E-09,19.02070847,0.016965314,98984.1797,84.65975,1.124990548,-0.039376432,-0.16030051,0.107863808,-0.234756604,0.084168385,0.375087687,0.016424042,0.156809905,0.04393602,0.076648766,0.009355714,0.114893468,0.068697465,3.679398632,0.739056835,-1.237254461,-0.109808444,0.648414022,-0.230654316,2.392481963,2.26637234,12.57690295,0.290362389,0.409430047,0.108528656,45,4000
