,elbowAngle,manusAngle
436,153.0871115,164.5857721
437,153.1063983,164.6076753
438,153.1779215,164.6887209
439,153.1783381,164.6891923
440,153.2690884,164.7917542
441,153.3481789,164.8810624
442,153.4333423,164.9773343
443,153.5012873,165.0543466
444,153.5110429,165.0654254
445,153.5217992,165.0776479
446,153.5358296,165.0935929
447,153.5467926,165.1060478
448,153.5591822,165.1201191
449,153.7526837,165.3393565
450,153.7577585,165.3450944
451,153.8286468,165.4251918
452,153.993766,165.6114432
453,154.0319928,165.6545139
454,154.2432036,165.8923157
455,154.4496062,166.1246997
456,154.5278909,166.212916
457,154.6839311,166.3889936
458,154.6904036,166.396306
459,154.699911,166.4070485
460,154.7550004,166.4693304
461,154.8164579,166.5387946
462,154.836587,166.561524
463,154.8613428,166.5894635
464,154.8691985,166.5983263
465,154.9199941,166.6555979
466,154.9284197,166.6650918
467,155.0951613,166.8526779
468,155.3235275,167.1088879
469,155.3604959,167.1503128
470,155.6133447,167.4334905
471,155.6202543,167.4412283
472,155.6723354,167.4995577
473,155.6889471,167.5181648
474,155.8461381,167.6943303
